Area,"CO2 (Mt)",Sector,Date
China,1014.842259,Total,2023-01
China,812.568198,Total,2023-02
China,1007.324475,Total,2023-03
China,900.874545,Total,2023-04
China,911.301911,Total,2023-05
China,951.062539,Total,2023-06
China,988.946318,Total,2023-07
China,1025.016939,Total,2023-08
China,900.109942,Total,2023-09
China,894.239828,Total,2023-10
China,952.447284,Total,2023-11
China,1045.966008,Total,2023-12
China,1005.130896,Total,2024-01
China,927.543084,Total,2024-02
China,997.232829,Total,2024-03
China,878.352828,Total,2024-04
China,882.210534,Total,2024-05
China,900.718396,Total,2024-06
China,959.144686,Total,2024-07
China,1000.193033,Total,2024-08
China,939.987466,Total,2024-09
China,897.062060,Total,2024-10
China,947.745380,Total,2024-11
China,1064.679920,Total,2024-12
